tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;total;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo ;term;rec;ron;multi;saldo anterior 
1656;9/01/2020;27/09/2020;51008;0;0;3992;115000;;;due;656;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;60000
1657;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;657;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1658;9/01/2020;27/09/2020;61008;0;0;3992;55000;;;due;658;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;-10000
1659;9/01/2020;27/09/2020;51008;0;0;3992;65000;;;due;659;8;;3;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;10000
1660;9/01/2020;27/09/2020;51008;0;0;3992;65000;;;due;660;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;10000
1661;9/01/2020;27/09/2020;51008;0;0;3992;110000;;;due;661;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;55000
1662;9/01/2020;27/09/2020;51008;0;0;3992;55000;;;due;662;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;0
1663;9/01/2020;27/09/2020;61008;0;0;3992;110000;;;due;663;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;45000
1664;9/01/2020;27/09/2020;61008;0;0;3992;110000;;;due;664;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;45000
1665;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;665;8;;3;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1666;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;666;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1667;9/01/2020;27/09/2020;61008;0;0;3992;123548;;;due;667;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;58548
1668;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;668;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1669;9/01/2020;27/09/2020;61008;0;0;3992;65000;cash;;paid;669;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1670;9/01/2020;27/09/2020;61008;0;0;3992;130000;;;due;670;8;;3;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;65000
1671;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;671;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1672;9/01/2020;27/09/2020;21008;0;0;3992;80000;cash;;paid;672;8;25000;1;Yes;0;%;Yopal ;Television ;No;0;no;Activo;0;55000
1673;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;673;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1674;9/01/2020;27/09/2020;61008;0;0;3992;25000;;;due;674;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;-40000
1675;9/01/2020;27/09/2020;51008;0;0;3992;65000;;;due;675;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;10000
