tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;total;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo ;term;rec;ron;multi
1349;09/01/2020;27/09/2020;36008;0;0;3992;40000;EFECTIVOS ;;due;349;8;0;2;yes;0;%;Yopal ;Television ;1Mega;0;no;Activo;0
1350;09/01/2020;27/09/2020;61008;0;0;3992;22667;EFECTIVOS ;;due;350;8;42333;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1351;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;351;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1352;09/01/2020;27/09/2020;55000;0;0;;0;EFECTIVOS ;;paid;352;8;55000;1;No;0;%;Yopal ;No;5Megas;0;no;Activo;0
1353;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;353;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1354;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;354;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1355;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;355;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1356;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;356;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1357;09/01/2020;27/09/2020;51008;0;0;3992;0;EFECTIVOS ;;paid;357;8;55000;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1358;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;358;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1359;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;359;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1360;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;360;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1361;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;361;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1362;09/01/2020;27/09/2020;55000;0;0;;59500;EFECTIVOS ;;due;362;8;;2;No;0;%;Yopal ;No;5Megas;0;no;Activo;0
1363;09/01/2020;27/09/2020;45000;0;0;;45000;EFECTIVOS ;;due;363;8;0;;No;0;%;Yopal ;No;3Megas;0;no;Activo;0
1364;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;364;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1365;09/01/2020;27/09/2020;21008;0;0;3992;25000;EFECTIVOS ;;due;365;8;0;1;Yes;0;%;Yopal ;Television ;No;0;no;Activo;0
1366;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;366;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1367;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;367;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1368;09/01/2020;27/09/2020;51008;0;0;3992;91000;EFECTIVOS ;;due;368;8;;3;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1369;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;369;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1370;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;370;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1371;09/01/2020;27/09/2020;36008;0;0;3992;40000;EFECTIVOS ;;due;371;8;0;2;yes;0;%;Yopal ;Television ;1Mega;0;no;Activo;0
1372;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;372;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1373;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;373;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1374;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;374;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1375;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;375;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1376;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;376;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1377;09/01/2020;27/09/2020;41008;0;0;3992;45000;EFECTIVOS ;;due;377;8;0;2;Yes;0;%;Yopal ;Television ;2Megas;0;no;Activo;0
1378;09/01/2020;27/09/2020;36008;0;0;3992;40000;EFECTIVOS ;;due;378;8;0;2;yes;0;%;Yopal ;Television ;1Mega;0;no;Activo;0
1379;09/01/2020;27/09/2020;21008;0;0;3992;25000;EFECTIVOS ;;due;379;8;0;1;Yes;0;%;Yopal ;Television ;No;0;no;Activo;0
1380;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;380;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1381;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;381;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1382;09/01/2020;27/09/2020;55000;0;0;;55000;EFECTIVOS ;;due;382;8;0;1;No;0;%;Yopal ;No;5Megas;0;no;Activo;0
1383;09/01/2020;27/09/2020;21008;0;0;3992;25000;EFECTIVOS ;;due;383;8;0;1;Yes;0;%;Yopal ;Television ;No;0;no;Activo;0
1384;09/01/2020;27/09/2020;61008;0;0;3992;0;EFECTIVOS ;;paid;384;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1385;09/01/2020;27/09/2020;51008;0;0;3992;52931;EFECTIVOS ;;due;385;8;2069;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1386;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;386;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1387;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;387;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1388;09/01/2020;27/09/2020;21008;0;0;3992;50000;EFECTIVOS ;;due;388;8;;2;Yes;0;%;Yopal ;Television ;No;0;no;Activo;0
1389;09/01/2020;27/09/2020;51008;0;0;3992;0;EFECTIVOS ;;paid;389;8;55000;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1390;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;390;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1391;09/01/2020;27/09/2020;55000;0;0;;0;EFECTIVOS ;;paid;391;8;55000;1;No;0;%;Yopal ;No;5Megas;0;no;Activo;0
1392;09/01/2020;27/09/2020;21008;0;0;3992;25000;EFECTIVOS ;;due;392;8;0;1;Yes;0;%;Yopal ;Television ;No;0;no;Activo;0
